Status,Station Name,Observation Date,Latitude,Longitude,Observation Time,Observation Notes,Relative Humidity,Barometric Pressure,Air Temperature,Wind Direction ,Visibility ,Water Temperature,Turbidity,Secchi Depth,Width,Depth,Stream Discharge,Surface Water Appearance,Stream Bank Eroision,Water Type,Salinity,Conductivity,Dissolved Oxygen,Nitrate,Ammonia,Phosphate,pH,Biological Oxygen Demand,Total Dissolved Solids,Fecal Coliform,Dissolved Carbon Dioxide,Tolerant Macroinvertebrates,Less Sensitive Macroinvertebrates,Sensitive Macroinvertebrates,Total Index Value,Caddisfly (Trichoptera-Other),Mayfly (Ephemeroptera),Stonefly (Plecoptera),Watersnipe Flies (Diptera-Athericidae),Riffle Beetles (Elmidae),Water Pennies (Psephenidae),Gilled Snails (Viviparidae),Dobsonfies (Corydalinae),Fishflies (Chauliodinae),Netspinning Caddisfly (Trichoptera-Hydropsychidae),Damselflies (Zygoptera),Dragonflies (Anisoptera),Alderflies (Sialidae),Crayfish (Astacoidea),Scuds (Amphipoda),Aquatic Sowbugs (Isopoda),Clams (Sphaeriidae),Mussels (Palaeoheterodonta),Aquatic Worms (Oligochaeta),Black Flies (Diptera-Simuliidae),Midge Flies,Leeches (Hirundinea),Lunged Snails (Pulmonata),Other Macroinvertebrate,silt (mud),"sand (1/16"" - 1/4"" grains)","gravel (1/4"" - 2"" stones)","cobbles (2"" - 10"" stones)","boulders (> 10"" stones)",trees,shrubs,grass,bare soil,rocks,other
,Pickering Creek Audubon Center,2010-08-27,38.866854,-76.113227,,,,,23,,,26,,51,,,,,,,13,,3,0.5,,,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R1,2010-08-25,38.884,-76.529,,,,,,,,26.1,,0.5,,,,,,,12.75,21.31,6.49,,,,7.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pickering Creek Audubon Center,2010-08-21,38.866854,-76.113227,,,,,25,,,27,,56,,,,,,,11,,3,0.5,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 1,2010-08-20,38.669683,-76.2918,,,,,,,,27,,150,,,,,,,13.1,,5.9,,,,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 2,2010-08-20,38.6152,-76.3232,,,,,,,,27,,160,,,,,,,13.6,,5.8,,,,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 3,2010-08-20,38.638517,-76.248117,,,,,,,,27,,100,,,,,,,13.5,,5.5,,,,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 4,2010-08-20,38.6237,-76.203817,,,,,,,,31.2,,130,,,,,,,12.7,,7.1,,,,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 5,2010-08-20,38.66085,-76.205233,,,,,,,,27.3,,120,,,,,,,12.4,,6,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 7,2010-08-20,38.627833,-76.15525,,,,,,,,27.3,,90,,,,,,,12.4,,6.4,,,,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 7,2010-08-20,38.627833,-76.15525,,,,,,,,27.4,,100,,,,,,,11.8,,5.8,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 8,2010-08-20,38.588133,-76.062333,,,,,,,,27.4,,80,,,,,,,11.2,,7,,,,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R1,2010-08-18,38.884,-76.529,,,,,,,,28.1,,0.5,,,,,,,12.28,20.7,8.7,,,,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 9,2010-08-17,38.570483,-76.036317,,,,,,,,28.4,,50,,,,,,,10.4,,2.8,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 10,2010-08-17,38.595767,-75.982283,,,,,,,,28.2,,40,,,,,,,9.6,,3.2,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 11,2010-08-17,38.630367,-75.97865,,,,,,,,29.1,,30,,,,,,,8,,3.9,,,,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 13,2010-08-17,38.675683,-75.954683,,,,,,,,28.5,,40,,,,,,,7.2,,2.2,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 14,2010-08-17,38.696283,-75.982233,,,,,,,,28,,30,,,,,,,6.4,,1.9,,,,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 15,2010-08-17,38.723417,-76.742,,,,,,,,28.7,,40,,,,,,,6.2,,1.8,,,,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 16,2010-08-17,38.734767,-76.092,,,,,,,,28.4,,30,,,,,,,5.5,,1.4,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 17,2010-08-17,38.774083,-75.96775,,,,,,,,28.4,,30,,,,,,,4.3,,1.1,,,,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 12,2010-08-17,38.649583,-75.95595,,,,,,,,28.4,,30,,,,,,,7.7,,3.2,,,,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pickering Creek Audubon Center,2010-08-13,38.866854,-76.113227,,,,,24,,,26,,60,,,,,,,10,,6,1.5,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 12,2010-08-13,38.649583,-75.95595,,,,,,,,18.6,,30,,,,,,,8.5,,8.6,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R1,2010-08-11,38.884,-76.529,,,,,,,,29.8,,0.5,,,,,,,12.7,21.34,7.64,,,,8.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pickering Creek Audubon Center,2010-08-05,38.866854,-76.113227,,,,,28,,,28,,41,,,,,,,9,,5,1.5,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R1,2010-08-04,38.884,-76.529,,,,,,,,25.41,,0.5,,,,,,,12.4,20.8,6.5,,,,7.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 1,2010-08-04,38.669683,-76.2918,,,,,,,,26.9,,100,,,,,,,12.2,,5.8,,,,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 2,2010-08-04,38.6152,-76.3232,,,,,,,,27,,110,,,,,,,13.2,,6.4,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 3,2010-08-04,38.638517,-76.248117,,,,,,,,27.5,,120,,,,,,,12.9,,6,,,,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 4,2010-08-04,38.6237,-76.203817,,,,,,,,27.4,,110,,,,,,,13.2,,6.6,,,,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 5,2010-08-04,38.66085,-76.205233,,,,,,,,27.6,,120,,,,,,,11.9,,6.2,,,,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 7,2010-08-04,38.627833,-76.15525,,,,,,,,27.9,,90,,,,,,,12.2,,5.9,,,,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 7,2010-08-04,38.627833,-76.15525,,,,,,,,27.9,,80,,,,,,,11.4,,6.7,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 8,2010-08-04,38.588133,-76.062333,,,,,,,,28,,80,,,,,,,7.7,,6.2,,,,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tangier Eastern Chanel,2010-08-04,37.836328,-75.978259,,,,,,,,26.67,,121.92,,,,,,,19,,4.5,,,,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 9,2010-08-03,38.570483,-76.036317,,,,,,,,27.8,,80,,,,,,,10,,3,,,,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 10,2010-08-03,38.595767,-75.982283,,,,,,,,27.4,,60,,,,,,,9.1,,2.6,,,,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 11,2010-08-03,38.630367,-75.97865,,,,,,,,27.6,,60,,,,,,,7.7,,2.7,,,,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 13,2010-08-03,38.675683,-75.954683,,,,,,,,27.8,,50,,,,,,,6.8,,3,,,,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 14,2010-08-03,38.696283,-75.982233,,,,,,,,28.3,,50,,,,,,,5.8,,3.7,,,,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 15,2010-08-03,38.723417,-76.742,,,,,,,,28,,50,,,,,,,5.2,,2.7,,,,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 16,2010-08-03,38.734767,-76.092,,,,,,,,28.1,,40,,,,,,,4.5,,3,,,,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 17,2010-08-03,38.774083,-75.96775,,,,,,,,28.3,,60,,,,,,,3.2,,2.8,,,,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 12,2010-08-03,38.649583,-75.95595,,,,,,,,27.9,,40,,,,,,,6.2,,3.1,,,,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pickering Creek Audubon Center,2010-07-28,38.866854,-76.113227,,,,,26,,,28,,36,,,,,,,10,,4.5,1.5,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pickering Creek Audubon Center,2010-07-23,38.866854,-76.113227,,,,,28,,,28,,41,,,,,,,10,,6,1,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 9,2010-07-23,38.570483,-76.036317,,,,,,,,29.3,,50,,,,,,,9,,2.2,,,,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 10,2010-07-23,38.595767,-75.982283,,,,,,,,29.7,,50,,,,,,,8.4,,2.2,,,,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 11,2010-07-23,38.630367,-75.97865,,,,,,,,29.8,,40,,,,,,,6.5,,2.4,,,,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 13,2010-07-23,38.675683,-75.954683,,,,,,,,30.1,,30,,,,,,,5.2,,2.1,,,,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 14,2010-07-23,38.696283,-75.982233,,,,,,,,30.4,,40,,,,,,,4.7,,2.8,,,,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 15,2010-07-23,38.723417,-76.742,,,,,,,,30.6,,50,,,,,,,3.8,,3,,,,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 16,2010-07-23,38.734767,-76.092,,,,,,,,30.7,,50,,,,,,,2.2,,2.1,,,,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 17,2010-07-23,38.774083,-75.96775,,,,,,,,30.5,,60,,,,,,,1.3,,2.6,,,,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 12,2010-07-23,38.649583,-75.95595,,,,,,,,29.8,,50,,,,,,,6.1,,2.1,,,,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R1,2010-07-21,38.884,-76.529,,,,,,,,29.2,,0.45,,,,,,,11.7,19.75,4.7,,,,7.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Port Isobel,2010-07-20,37.832723,-75.977229,,,,,,,,31,,100,,,,,,,18,,7,0,,5,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pickering Creek Audubon Center,2010-07-15,38.866854,-76.113227,,,,,33,,,28,,36,,,,,,,11,,8,0.5,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 1,2010-07-15,38.669683,-76.2918,,,,,,,,27.3,,100,,,,,,,12.2,,2.8,,,,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 2,2010-07-15,38.6152,-76.3232,,,,,,,,27.8,,110,,,,,,,12.3,,3.1,,,,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 3,2010-07-15,38.638517,-76.248117,,,,,,,,27.9,,100,,,,,,,11.3,,2.6,,,,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R1,2010-07-14,38.884,-76.529,,,,,,,,28.02,,0.4,,,,,,,11.04,18.7,11.9,,,,7.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 4,2010-07-14,38.6237,-76.203817,,,,,,,,27.9,,100,,,,,,,10.8,,2.8,,,,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 5,2010-07-14,38.66085,-76.205233,,,,,,,,27.3,,80,,,,,,,11.3,,3.2,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 7,2010-07-14,38.627833,-76.15525,,,,,,,,27.8,,80,,,,,,,10.9,,3.2,,,,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 7,2010-07-14,38.627833,-76.15525,,,,,,,,28,,70,,,,,,,10.7,,3,,,,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 8,2010-07-14,38.588133,-76.062333,,,,,,,,28.2,,50,,,,,,,10.2,,3.1,,,,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pickering Creek Audubon Center,2010-07-08,38.866854,-76.113227,,,,,29,,,28,,43,,,,,,,9,,6,0.5,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 9,2010-07-08,38.570483,-76.036317,,,,,,,,28.8,,50,,,,,,,9,,3.4,,,,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 10,2010-07-08,38.595767,-75.982283,,,,,,,,28.8,,30,,,,,,,7.6,,3.8,,,,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 11,2010-07-08,38.630367,-75.97865,,,,,,,,29,,30,,,,,,,7.2,,4,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 13,2010-07-08,38.675683,-75.954683,,,,,,,,29.3,,30,,,,,,,5.9,,3,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 14,2010-07-08,38.696283,-75.982233,,,,,,,,29.9,,30,,,,,,,5.2,,2.6,,,,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 15,2010-07-08,38.723417,-76.742,,,,,,,,29.8,,30,,,,,,,4.8,,2.7,,,,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 16,2010-07-08,38.734767,-76.092,,,,,,,,30.1,,30,,,,,,,3.6,,3.8,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 17,2010-07-08,38.774083,-75.96775,,,,,,,,30,,30,,,,,,,2.6,,3.3,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 12,2010-07-08,38.649583,-75.95595,,,,,,,,29,,30,,,,,,,6.7,,3.3,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R1,2010-07-07,38.884,-76.529,,,,,,,,28.5,,0.4,,,,,,,10.95,18.57,5.6,,,,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R1,2010-07-07,38.884,-76.529,,,,,,,,28.5,,0.4,,,,,,,10.95,18.57,5.6,,,,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pickering Creek Audubon Center,2010-07-01,38.866854,-76.113227,,,,,24,,,25,,46,,,,,,,10,,5,0.5,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ri,2010-06-30,38.884,-76.529,,,,,,,,0,,0.55,,,,,,,10.42,17.73,6.23,,,,7.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R1,2010-06-24,38.884,-76.529,,,,,,,,29.9,,0.65,,,,,,,9.86,16.87,6.79,,,,7.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 1,2010-06-24,38.669683,-76.2918,,,,,,,,28.9,,130,,,,,,,10.9,,7.8,,,,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 2,2010-06-24,38.6152,-76.3232,,,,,,,,27.8,,130,,,,,,,11.3,,7.6,,,,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 3,2010-06-24,38.638517,-76.248117,,,,,,,,29.4,,120,,,,,,,10.6,,8.3,,,,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 4,2010-06-24,38.6237,-76.203817,,,,,,,,28.6,,140,,,,,,,10.6,,8.1,,,,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 5,2010-06-24,38.66085,-76.205233,,,,,,,,28.8,,110,,,,,,,10.4,,7.9,,,,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 7,2010-06-24,38.627833,-76.15525,,,,,,,,28.8,,80,,,,,,,9.9,,8.1,,,,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 7,2010-06-24,38.627833,-76.15525,,,,,,,,29.2,,70,,,,,,,9.6,,8,,,,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 8,2010-06-24,38.588133,-76.062333,,,,,,,,29.1,,60,,,,,,,9,,7.3,,,,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pickering Creek Audubon Center,2010-06-23,38.866854,-76.113227,,,,,30,,,25,,51,,,,,,,8,,6,0.5,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Smith Island MD,2010-06-22,37.945505,-76.00993,,,,,,,,30.44,0,71.12,,,,,,,17.9,,7.4,1,,,8.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Karen Noonan Center dock,2010-06-16,38.22037,-76.038584,,,,"1,040.34",23.56,,,25.38,18.88,,,,,,,,15,,6.5,,,,8.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R1,2010-06-16,38.884,-76.529,,,,,,,,26.13,,0.7,,,,,,,9.82,17.77,6.5,,,,7.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R1,2010-06-16,38.884,-76.529,,,,,,,,26.13,,0.7,,,,,,,9.8,16.77,6.5,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 9,2010-06-16,38.570483,-76.036317,,,,,,,,26.3,,50,,,,,,,8.6,,5.4,,,,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 10,2010-06-16,38.595767,-75.982283,,,,,,,,26.7,,50,,,,,,,7.8,,5.4,,,,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 11,2010-06-16,38.630367,-75.97865,,,,,,,,26.7,,40,,,,,,,6.8,,5.2,,,,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 13,2010-06-16,38.675683,-75.954683,,,,,,,,26.1,,40,,,,,,,5.8,,5.7,,,,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 14,2010-06-16,38.696283,-75.982233,,,,,,,,27,,40,,,,,,,4.1,,4.6,,,,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 15,2010-06-16,38.723417,-76.742,,,,,,,,27.1,,40,,,,,,,3.7,,4.5,,,,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 16,2010-06-16,38.734767,-76.092,,,,,,,,27.1,,40,,,,,,,2.9,,4.3,,,,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 17,2010-06-16,38.774083,-75.96775,,,,,,,,27.2,,50,,,,,,,2,,4.7,,,,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 12,2010-06-16,38.649583,-75.95595,,,,,,,,26,,40,,,,,,,6.1,,5.3,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R1,2010-06-09,38.884,-76.529,,,,,,,,24.6,,0.6,,,,,,,9.39,16.07,5.78,,,,7.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pickering Creek Audubon Center,2010-06-04,38.866854,-76.113227,,,,,21,,,26,,61,,,,,,,0.5,,4,1,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ingleside Beach,2010-06-03,39.045275,-76.231845,,,,,30,,,27,,,,,,,,,11,,0,0,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R1,2010-06-02,38.884,-76.529,,,,,,,,24.8,,0.6,,,,,,,9.21,15.76,6.03,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 1,2010-06-02,38.669683,-76.2918,,,,,,,,23.5,,140,,,,,,,8.3,,7.4,,,,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 2,2010-06-02,38.6152,-76.3232,,,,,,,,23.1,,130,,,,,,,10.8,,7.2,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 3,2010-06-02,38.638517,-76.248117,,,,,,,,24.3,,130,,,,,,,9.1,,7.6,,,,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 4,2010-06-02,38.6237,-76.203817,,,,,,,,24.1,,140,,,,,,,9,,7.5,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 5,2010-06-02,38.66085,-76.205233,,,,,,,,24.2,,120,,,,,,,8.8,,7.8,,,,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 7,2010-06-02,38.627833,-76.15525,,,,,,,,24,,110,,,,,,,8.2,,7.6,,,,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 7,2010-06-02,38.627833,-76.15525,,,,,,,,24.1,,100,,,,,,,8,,7.9,,,,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 8,2010-06-02,38.588133,-76.062333,,,,,,,,24.2,,90,,,,,,,8.2,,7.7,,,,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pickering Creek Audubon Center,2010-05-28,38.866854,-76.113227,,,,,24,,,23,,46,,,,,,,6,,6,0,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pickering Creek Audubon Center,2010-05-27,38.866854,-76.113227,,,,,27,,,27,,51,,,,,,,7,,5,0,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R1,2010-05-26,38.884,-76.529,,,,,,,,23.01,,1,,,,,,,8.53,14.67,7.82,,,,7.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R1,2010-05-26,38.884,-76.529,,,,,,,,23.01,,1,,,,,,,8.53,14.67,7.82,,,,7.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R1,2010-05-26,38.884,-76.529,,,,,,,,23.01,,1,,,,,,,8.53,14.67,7.82,,,,7.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Germantown Lake,2010-05-21,38.626256,-77.733308,,,,,25,,,23,,,,,,,,,0,,6,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pickering Creek Audubon Center,2010-05-20,38.866854,-76.113227,,,,,18,,,19,,63,,,,,,,8,,5.5,1,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,fde5145c-31b0-4d00-8a66-a8b45d8c9a46,2010-05-20,38.626256,-77.733308,,,,,21.11,,,15.56,,,,,,,,,0,,11,0.1,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2010-05-19,38.884,-76.529,,,,,,,,18.57,,1.1,,,,,,,8.77,15,7.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,West/Rhode,2010-05-19,38.884,-76.529,,,,,,,,18.57,,1.1,,,,,,,8.77,15,7.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Herring Creek,2010-05-14,37.323554,-77.146522,,,73,"1,026.7",18.33,,,21.11,,61.47,,,,,,,0,,9,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Deep Bottom Landing,2010-05-13,37.407094,-77.305639,,,80,"1,027.09",16.67,,,21.11,,,,,,,,,0,,8,0.1,,,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
